Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Damme;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
De Haan;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
De Panne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
De Pinte (t/m 2024);7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;6,9;6,9;6,9;6,9;6,9;;
Deerlijk;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8
Deinze (vanaf 2019);;;;;;;;;;;;7,2;7,2;7,2;7,2;7,2;6,9;6,9;6,9
Deinze (t/m 2018);8,2;8,2;8,2;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;;;;;;;;
Denderleeuw;7;7;7;7;7;7;7;7;7;7;7;7;7,3;7,3;7,3;7,3;7,3;7,3;7,3
Dendermonde;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,5
Dentergem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Dessel;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Destelbergen;6;6;6;6;6;7,1;7,1;7,1;7,1;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Diepenbeek;7,5;7,5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Diest;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Diksmuide;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Dilbeek;5,5;5,5;5,5;5,5;5,5;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Dilsen-Stokkem;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Drogenbos;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Duffel;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Edegem;7,2;7,2;7,2;7,2;7,2;7,2;7;7;7;7;7;7;7;7;6,8;6,6;6,6;6,6;6,5
Eeklo;7,7;7,7;7,7;7,7;7,7;8;8;8;8;8;8;8;7,7;7,7;7,7;7,7;7,7;7,7;7,5
Erpe-Mere;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Essen;7,5;7;7;7;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7
Evergem;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,4
Galmaarden (t/m 2024);7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;;
Gavere;6,5;6,5;6,5;6,5;6,5;6,5;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
Geel;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Geetbets;7,5;7,5;7,5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Genk;7;7;7;7;7;7;7;7;7;7;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Gent;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,5;6,5;6,5;6,5
Geraardsbergen;8,5;8,4;8,4;8,2;8;8;8;8;7,9;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
